County,Calendar_year,Financial_quarter,Per_capita_sales,Total_taxable_sales
SANTA BARBARA,2022,1,37.25,16582951
SANTA CLARA,2022,1,27.61,52327911
SANTA CRUZ,2022,1,58.85,15687746
SHASTA,2022,1,59.46,10735185
SISKIYOU,2022,1,33.06,1449298
SOLANO,2022,1,41.58,18597737
SONOMA,2022,1,52,25085140
STANISLAUS,2022,1,72.1,39619045
TULARE,2022,1,30.02,14261984
UNDISCLOSED,2022,1,,11732462
VENTURA,2022,1,21.5,17930622
YOLO,2022,1,35.52,7856172
ALAMEDA,2021,4,48.19,80111713
CALAVERAS,2021,4,60,2715311
CONTRA COSTA,2021,4,26.36,30616972
DEL NORTE,2021,4,28.49,786164
EL DORADO,2021,4,46.25,8837516
FRESNO,2021,4,3.56,3595182
HUMBOLDT,2021,4,79.14,10727872
IMPERIAL,2021,4,45.59,8183308
INYO,2021,4,56.45,1071676
KERN,2021,4,6.52,5922085
KINGS,2021,4,65.08,9831592
LAKE,2021,4,26.37,1784438
LOS ANGELES,2021,4,40.71,404356167
MARIN,2021,4,16.32,4236046
MENDOCINO,2021,4,68.79,6237640
MERCED,2021,4,40.16,11321783
MONO,2021,4,95.07,1264380
MONTEREY,2021,4,46.21,20137432
NAPA,2021,4,24.09,3313761
NEVADA,2021,4,46.03,4691447
ORANGE,2021,4,23.42,74235621
RIVERSIDE,2021,4,49.06,118970241
SACRAMENTO,2021,4,51.76,81820694
SAN BERNARDINO,2021,4,15.17,33107390
SAN DIEGO,2021,4,45.64,150109809
SAN FRANCISCO,2021,4,80.48,68366994
SAN JOAQUIN,2021,4,19.92,15590990
SAN LUIS OBISPO,2021,4,52.18,14596207
SAN MATEO,2021,4,25.08,18850486
SANTA BARBARA,2021,4,52.49,23292737
SANTA CLARA,2021,4,28.42,54217056
SANTA CRUZ,2021,4,65.11,17357306
SHASTA,2021,4,63.91,11633169
SISKIYOU,2021,4,35.27,1549469
SOLANO,2021,4,42.58,19160971
SONOMA,2021,4,55.48,26892534
STANISLAUS,2021,4,78.32,43213640
TRINITY,2021,4,3.38,54403
TULARE,2021,4,31.63,14995410
UNDISCLOSED,2021,4,,6627827
VENTURA,2021,4,21.28,17882367
YOLO,2021,4,39.49,8579077
YUBA,2021,4,55.2,4526517
ALAMEDA,2021,3,48.85,81207341
CALAVERAS,2021,3,74.6,3375890
CONTRA COSTA,2021,3,26.34,30591805
DEL NORTE,2021,3,33.9,935606
EL DORADO,2021,3,48.57,9279554
FRESNO,2021,3,2.42,2448298
HUMBOLDT,2021,3,86.51,11727940
IMPERIAL,2021,3,28.66,5145468
KERN,2021,3,6.33,5746017
KINGS,2021,3,61.24,9251669
LAKE,2021,3,33.21,2247094
LOS ANGELES,2021,3,41.83,415491625
MARIN,2021,3,16.9,4387234
MENDOCINO,2021,3,79.39,7198383
MERCED,2021,3,44.96,12673682
MONO,2021,3,126.41,1681137
MONTEREY,2021,3,46.77,20381403
NAPA,2021,3,21.57,2966813
ORANGE,2021,3,24.3,77031965
RIVERSIDE,2021,3,46.58,112960948
SACRAMENTO,2021,3,54.34,85891771
SAN BERNARDINO,2021,3,14.68,32048295
SAN DIEGO,2021,3,38.63,127044737
SAN FRANCISCO,2021,3,70.8,60144517
SAN JOAQUIN,2021,3,21.31,16679921
SAN LUIS OBISPO,2021,3,56.19,15719083
SAN MATEO,2021,3,20.09,15105562
SANTA BARBARA,2021,3,32.34,14350161
SANTA CLARA,2021,3,28.91,55168373
SANTA CRUZ,2021,3,60.68,16176555
SHASTA,2021,3,73.59,13396093
SISKIYOU,2021,3,45.55,2001450
SOLANO,2021,3,41.57,18705472
SONOMA,2021,3,61,29567425
STANISLAUS,2021,3,89.35,49302811
TULARE,2021,3,32.86,15578096
UNDISCLOSED,2021,3,,13611224
VENTURA,2021,3,21.54,18101571
YOLO,2021,3,41.07,8924085
YUBA,2021,3,61.21,5019061
ALAMEDA,2021,2,56.99,94738639
CALAVERAS,2021,2,78.95,3572855
CONTRA COSTA,2021,2,27,31364165
EL DORADO,2021,2,71.78,13715676
FRESNO,2021,2,2.61,2636603
HUMBOLDT,2021,2,138.99,18840515
IMPERIAL,2021,2,33.22,5963238
KERN,2021,2,6.89,6252233
KINGS,2021,2,54.34,8208855
LAKE,2021,2,40.82,2761705
LOS ANGELES,2021,2,45.89,455847834
MARIN,2021,2,18.64,4838157
MENDOCINO,2021,2,102.03,9251311
MERCED,2021,2,51.15,14418556
MONO,2021,2,121.04,1609711
MONTEREY,2021,2,46.86,20419699
NAPA,2021,2,20.71,2849011
ORANGE,2021,2,22.89,72572205
RIVERSIDE,2021,2,47.57,115356947
SACRAMENTO,2021,2,57.54,90958953
SAN BERNARDINO,2021,2,22.27,48616758
SAN DIEGO,2021,2,39.47,129802479
SAN FRANCISCO,2021,2,85.26,72426506
SAN JOAQUIN,2021,2,21.72,17000098
SAN LUIS OBISPO,2021,2,65.71,18380034
SAN MATEO,2021,2,18.85,14173497
SANTA BARBARA,2021,2,62.74,27838698
SANTA CLARA,2021,2,30.25,57712062
SANTA CRUZ,2021,2,65.69,17510887
SHASTA,2021,2,80.87,14720213
SISKIYOU,2021,2,58.57,2573168
SOLANO,2021,2,40.95,18429658
SONOMA,2021,2,61.13,29628445
STANISLAUS,2021,2,96.93,53481971
TULARE,2021,2,33.81,16030769
UNDISCLOSED,2021,2,,19952664
VENTURA,2021,2,24.59,20660084
YOLO,2021,2,45.95,9984118
ALAMEDA,2021,1,50.67,84247050
CALAVERAS,2021,1,61.04,2762115
CONTRA COSTA,2021,1,23.99,27867201
EL DORADO,2021,1,48.86,9335004
HUMBOLDT,2021,1,71.84,9739382
IMPERIAL,2021,1,32.81,5889128
KERN,2021,1,6.07,5508477
KINGS,2021,1,40.6,6133574
LAKE,2021,1,44.72,3025503
LOS ANGELES,2021,1,39.31,390449852
MARIN,2021,1,16.45,4269511
MENDOCINO,2021,1,81.23,7365736
MERCED,2021,1,51.92,14637051
MONO,2021,1,101.1,1344536
MONTEREY,2021,1,43.35,18890969
NAPA,2021,1,17.35,2386282
NEVADA,2021,1,54.81,5586625
ORANGE,2021,1,21.1,66902117
RIVERSIDE,2021,1,42.58,103260098
SACRAMENTO,2021,1,53.76,84987005
SAN BERNARDINO,2021,1,12.17,26577295
SAN DIEGO,2021,1,32.74,107678915
SAN FRANCISCO,2021,1,70.28,59702411
SAN JOAQUIN,2021,1,22.58,17669086
SAN LUIS OBISPO,2021,1,51.57,14427237
SAN MATEO,2021,1,13.8,10378479
SANTA BARBARA,2021,1,27.8,12337725
SANTA CLARA,2021,1,29.51,56308942
SANTA CRUZ,2021,1,60.45,16115668
SHASTA,2021,1,71.13,12948513
SISKIYOU,2021,1,34.4,1511579
SOLANO,2021,1,34.9,15705730
SONOMA,2021,1,53.94,26145711
STANISLAUS,2021,1,96.3,53132754
TULARE,2021,1,27.91,13234084
UNDISCLOSED,2021,1,,13985240
VENTURA,2021,1,21.84,18352322
YOLO,2021,1,45.22,9825478
ALAMEDA,2020,4,51.6,86816081
CALAVERAS,2020,4,49.58,2245853
CONTRA COSTA,2020,4,22.16,25844264
EL DORADO,2020,4,43.65,8346471
FRESNO,2020,4,2.24,2260167
HUMBOLDT,2020,4,67.42,9200895
IMPERIAL,2020,4,53.25,9570058
KERN,2020,4,5.31,4829145
KINGS,2020,4,32.28,4923108
LAKE,2020,4,39.6,2699848
LOS ANGELES,2020,4,38.64,387041301
MARIN,2020,4,17.1,4488208
MENDOCINO,2020,4,71.93,6589732
MERCED,2020,4,41.32,11621606
MONO,2020,4,91.26,1204215
MONTEREY,2020,4,76.52,33597730
NAPA,2020,4,17.52,2418881
NEVADA,2020,4,53.5,5470831
ORANGE,2020,4,20.35,64875898
RIVERSIDE,2020,4,36.47,88202452
SACRAMENTO,2020,4,52.98,83979260
SAN BERNARDINO,2020,4,12.19,26609744
SAN DIEGO,2020,4,35.2,116130639
SAN FRANCISCO,2020,4,74.07,64738641
SAN JOAQUIN,2020,4,21.69,16904012
SAN LUIS OBISPO,2020,4,51.75,14616635
SAN MATEO,2020,4,13.12,10035138
SANTA BARBARA,2020,4,31.92,14310246
SANTA CLARA,2020,4,28.45,55104459
SANTA CRUZ,2020,4,61.87,16759452
SHASTA,2020,4,64.43,11736308
SISKIYOU,2020,4,32.41,1428798
SOLANO,2020,4,33.81,15333327
SONOMA,2020,4,54.2,26498316
STANISLAUS,2020,4,83.38,46099905
TRINITY,2020,4,19.15,308672
TULARE,2020,4,23.45,11094755
UNDISCLOSED,2020,4,,10033813
VENTURA,2020,4,22.36,18872069
YOLO,2020,4,41.84,9054568
ALAMEDA,2020,3,54.39,91519033
CALAVERAS,2020,3,48.29,2187463
CONTRA COSTA,2020,3,21.18,24705937
EL DORADO,2020,3,49.47,9459032
FRESNO,2020,3,2.34,2363572
HUMBOLDT,2020,3,76.84,10486162
KERN,2020,3,4.38,3991146
LAKE,2020,3,47.1,3210755
LOS ANGELES,2020,3,41.42,414832438
MARIN,2020,3,17.52,4596944
MENDOCINO,2020,3,83.69,7666418
MERCED,2020,3,48.39,13609766
MONO,2020,3,122.98,1622762
MONTEREY,2020,3,36.2,15896656
NAPA,2020,3,16.36,2259368
ORANGE,2020,3,19.12,60943764
RIVERSIDE,2020,3,32.33,78193446
SACRAMENTO,2020,3,57.94,91846114
SAN BERNARDINO,2020,3,12.25,26744325
SAN DIEGO,2020,3,31.33,103373667
SAN FRANCISCO,2020,3,78.52,68631923
SAN JOAQUIN,2020,3,25.65,19991982
SAN LUIS OBISPO,2020,3,46.09,13017748
SAN MATEO,2020,3,14.7,11240592
SANTA BARBARA,2020,3,27.96,12534245
SANTA CLARA,2020,3,27.97,54175826
SANTA CRUZ,2020,3,62.73,16991742
SHASTA,2020,3,74.81,13628272
SISKIYOU,2020,3,48.4,2133476
SOLANO,2020,3,38.53,17476931
SONOMA,2020,3,57.69,28205285
STANISLAUS,2020,3,91.61,50649284
TRINITY,2020,3,8.47,136523
TULARE,2020,3,25.94,12274487
UNDISCLOSED,2020,3,,23679176
VENTURA,2020,3,23.34,19698706
YOLO,2020,3,42.13,9118903
ALAMEDA,2020,2,50.83,85527874
CALAVERAS,2020,2,32.08,1453370
CONTRA COSTA,2020,2,16.71,19490142
EL DORADO,2020,2,39.34,7521546
FRESNO,2020,2,2.24,2265795
HUMBOLDT,2020,2,81.6,11135738
KERN,2020,2,3.09,2810989
LAKE,2020,2,46.03,3138185
LOS ANGELES,2020,2,33.05,331019949
MARIN,2020,2,17.29,4535947
MENDOCINO,2020,2,73.32,6716284
MERCED,2020,2,40.47,11382379
MONO,2020,2,77.28,1019747
MONTEREY,2020,2,37.64,16528344
ORANGE,2020,2,15.62,49788474
RIVERSIDE,2020,2,26.05,62995014
SACRAMENTO,2020,2,49.66,78729387
SAN BERNARDINO,2020,2,10.88,23748609
SAN DIEGO,2020,2,26.49,87392252
SAN FRANCISCO,2020,2,74.98,65534545
SAN JOAQUIN,2020,2,19.77,15412832
SAN LUIS OBISPO,2020,2,43.72,12349096
SAN MATEO,2020,2,12.84,9816632
SANTA BARBARA,2020,2,38.96,17466321
SANTA CLARA,2020,2,24.76,47960987
SANTA CRUZ,2020,2,63.21,17122481
SHASTA,2020,2,67.05,12214260
SISKIYOU,2020,2,41.83,1844072
SOLANO,2020,2,36.02,16337594
SONOMA,2020,2,53.01,25916727
STANISLAUS,2020,2,80.36,44432382
TULARE,2020,2,30.33,14350982
UNDISCLOSED,2020,2,,18691279
VENTURA,2020,2,22,18571506
YOLO,2020,2,37,8007194
ALAMEDA,2020,1,37.24,62655032
CONTRA COSTA,2020,1,10.63,12394259
EL DORADO,2020,1,29.15,5573338
FRESNO,2020,1,1.17,1180977
HUMBOLDT,2020,1,50.22,6853222
KERN,2020,1,1.48,1349061
LAKE,2020,1,26.38,1798383
LOS ANGELES,2020,1,26.04,260809939
MARIN,2020,1,10.97,2878412
MENDOCINO,2020,1,55.43,5077601
MERCED,2020,1,21.44,6030734
MONO,2020,1,81.35,1073443
MONTEREY,2020,1,26.1,11461146
ORANGE,2020,1,11.77,37529193
RIVERSIDE,2020,1,20.2,48854449
SACRAMENTO,2020,1,36.63,58069702
SAN BERNARDINO,2020,1,6.8,14835396
SAN DIEGO,2020,1,20.29,66961962
SAN FRANCISCO,2020,1,69.85,61052271
SAN JOAQUIN,2020,1,14.39,11213889
SAN LUIS OBISPO,2020,1,31.18,8806480
SAN MATEO,2020,1,9.83,7516822
SANTA BARBARA,2020,1,20.67,9268429
SANTA CLARA,2020,1,24.88,48189961
SANTA CRUZ,2020,1,52.93,14337042
SHASTA,2020,1,44.29,8069172
SISKIYOU,2020,1,25.05,1104457
SOLANO,2020,1,28.84,13079108
SONOMA,2020,1,44.3,21658116
STANISLAUS,2020,1,50.94,28165747
TULARE,2020,1,11.97,5664099
UNDISCLOSED,2020,1,,13225308
VENTURA,2020,1,17.19,14513918
YOLO,2020,1,26.74,5788031
ALAMEDA,2019,4,34.9,57928125
CALAVERAS,2019,4,19.74,890289
CONTRA COSTA,2019,4,6.45,7411487
EL DORADO,2019,4,28.35,5378298
FRESNO,2019,4,1.1,1116722
HUMBOLDT,2019,4,52.6,7033586
IMPERIAL,2019,4,11.54,2176386
KERN,2019,4,0.91,825594
LAKE,2019,4,31.98,2053230
LOS ANGELES,2019,4,22.61,229804347
MARIN,2019,4,8.1,2119042
MENDOCINO,2019,4,57.47,5069721
MONO,2019,4,64.3,869606
MONTEREY,2019,4,55.97,24640424
ORANGE,2019,4,10.47,33373704
RIVERSIDE,2019,4,14.43,34907536
SACRAMENTO,2019,4,35.72,54945230
SAN BERNARDINO,2019,4,5.01,10865509
SAN DIEGO,2019,4,17.71,59055463
SAN FRANCISCO,2019,4,73.99,65628391
SAN JOAQUIN,2019,4,10.13,7745723
SAN LUIS OBISPO,2019,4,26.77,7440783
SAN MATEO,2019,4,10.45,8059257
SANTA BARBARA,2019,4,18.05,8121893
SANTA CLARA,2019,4,24.52,47690601
SANTA CRUZ,2019,4,50.82,13815504
SHASTA,2019,4,40.33,7165018
SISKIYOU,2019,4,23.05,1028168
SOLANO,2019,4,29.39,12882581
SONOMA,2019,4,40.9,20285913
STANISLAUS,2019,4,44.13,24413608
TRINITY,2019,4,6.67,91071
TULARE,2019,4,9.15,4353359
UNDISCLOSED,2019,4,,11628196
VENTURA,2019,4,15.95,13468792
YOLO,2019,4,22.25,4902790
ALAMEDA,2019,3,34.74,57668586
CALAVERAS,2019,3,22.6,1019266
CONTRA COSTA,2019,3,6.03,6924137
EL DORADO,2019,3,30.92,5866649
FRESNO,2019,3,1.38,1403762
HUMBOLDT,2019,3,56.08,7499234
KERN,2019,3,0.51,465373
LAKE,2019,3,34.21,2196300
LOS ANGELES,2019,3,19.68,200039883
MARIN,2019,3,7.56,1978052
MENDOCINO,2019,3,61.04,5384123
MONO,2019,3,95.67,1293868
MONTEREY,2019,3,25.96,11431463
ORANGE,2019,3,10.09,32170773
RIVERSIDE,2019,3,10.31,24952423
SACRAMENTO,2019,3,36.56,56237473
SAN BERNARDINO,2019,3,4.25,9215770
SAN DIEGO,2019,3,17.42,58077781
SAN FRANCISCO,2019,3,75.03,66548112
SAN LUIS OBISPO,2019,3,23.91,6644712
SANTA BARBARA,2019,3,12.51,5627017
SANTA CLARA,2019,3,25.7,49985898
SANTA CRUZ,2019,3,55.33,15040453
SHASTA,2019,3,45.49,8082244
SISKIYOU,2019,3,31.38,1399535
SOLANO,2019,3,32.26,14137233
SONOMA,2019,3,43.38,21513827
STANISLAUS,2019,3,46.16,25533457
UNDISCLOSED,2019,3,,26624924
VENTURA,2019,3,15.68,13239425
YOLO,2019,3,20.42,4499760
ALAMEDA,2019,2,33.35,55349178
CALAVERAS,2019,2,23.09,1041207
CONTRA COSTA,2019,2,5.15,5910835
EL DORADO,2019,2,24.27,4605065
HUMBOLDT,2019,2,50.89,6806043
KERN,2019,2,1.42,1288679
LAKE,2019,2,29.58,1899222
LOS ANGELES,2019,2,17.87,181633004
MARIN,2019,2,5.91,1547302
MENDOCINO,2019,2,58.04,5120266
MONO,2019,2,77.21,1044292
MONTEREY,2019,2,25.61,11276970
ORANGE,2019,2,9.25,29488779
RIVERSIDE,2019,2,10.13,24510987
SACRAMENTO,2019,2,32.33,49728941
SAN BERNARDINO,2019,2,5.19,11255949
SAN DIEGO,2019,2,16.61,55385110
SAN FRANCISCO,2019,2,71.24,63181734
SAN LUIS OBISPO,2019,2,21.12,5869425
SANTA BARBARA,2019,2,9.09,4092645
SANTA CLARA,2019,2,24.6,47844550
SANTA CRUZ,2019,2,52.65,14312146
SHASTA,2019,2,39.1,6946614
SISKIYOU,2019,2,23.09,1029699
SOLANO,2019,2,27.2,11921115
SONOMA,2019,2,40.37,20021976
STANISLAUS,2019,2,38.08,21068032
TULARE,2019,2,8.36,3979724
UNDISCLOSED,2019,2,,17749136
VENTURA,2019,2,14.13,11932500
YOLO,2019,2,18.87,4158242
ALAMEDA,2019,1,30.44,50529675
CONTRA COSTA,2019,1,4.75,5458628
EL DORADO,2019,1,16.78,3184246
FRESNO,2019,1,0.7,709565
HUMBOLDT,2019,1,36.77,4916828
KERN,2019,1,2.35,2135457
LAKE,2019,1,18.39,1180495
LOS ANGELES,2019,1,15.25,154993556
MARIN,2019,1,5.11,1338077
MENDOCINO,2019,1,45.28,3994067
MONTEREY,2019,1,20.72,9124480
ORANGE,2019,1,8.02,25559372
RIVERSIDE,2019,1,8.77,21237102
SACRAMENTO,2019,1,25.97,39945628
SAN BERNARDINO,2019,1,2.76,5981248
SAN DIEGO,2019,1,14.99,49994552
SAN FRANCISCO,2019,1,65.33,57942787
SAN JOAQUIN,2019,1,6.03,4612986
SAN LUIS OBISPO,2019,1,15.89,4416365
SANTA BARBARA,2019,1,5.64,2538290
SANTA CLARA,2019,1,22.41,43586992
SANTA CRUZ,2019,1,44.33,12050656
SHASTA,2019,1,26.04,4626337
SISKIYOU,2019,1,18.73,835481
SOLANO,2019,1,22.98,10070780
SONOMA,2019,1,34.58,17151155
STANISLAUS,2019,1,33.62,18598382
TULARE,2019,1,7.44,3539263
UNDISCLOSED,2019,1,,6866024
VENTURA,2019,1,11.11,9381852
YOLO,2019,1,11.63,2563489
ALAMEDA,2018,4,31.43,51916884
CALAVERAS,2018,4,23.24,1049691
CONTRA COSTA,2018,4,4.51,5158914
EL DORADO,2018,4,17.25,3243200
FRESNO,2018,4,0.87,879409
HUMBOLDT,2018,4,35.36,4771844
KERN,2018,4,2.37,2131428
LAKE,2018,4,9.26,598221
LOS ANGELES,2018,4,14.62,149076931
MARIN,2018,4,6.05,1587730
MENDOCINO,2018,4,46.29,4099100
MONTEREY,2018,4,22.09,9692172
NEVADA,2018,4,8.42,826417
ORANGE,2018,4,8.46,26963539
RIVERSIDE,2018,4,6.92,16594578
SACRAMENTO,2018,4,26.3,40118136
SAN BERNARDINO,2018,4,2.18,4704277
SAN DIEGO,2018,4,14.44,47975163
SAN FRANCISCO,2018,4,68.65,60811263
SAN JOAQUIN,2018,4,4.34,3270815
SAN LUIS OBISPO,2018,4,18,5011066
SAN MATEO,2018,4,0.93,720762
SANTA BARBARA,2018,4,5.15,2314877
SANTA CLARA,2018,4,22.42,43575550
SANTA CRUZ,2018,4,47.12,12891543
SHASTA,2018,4,21.87,3899531
SISKIYOU,2018,4,19.26,859143
SOLANO,2018,4,21.68,9472064
SONOMA,2018,4,34.59,17312803
STANISLAUS,2018,4,32.61,17946379
TULARE,2018,4,6.71,3169558
UNDISCLOSED,2018,4,,1391173
VENTURA,2018,4,9.51,8070859
YOLO,2018,4,8.24,1810127
ALAMEDA,2018,3,28.45,47008411
BUTTE,2018,3,0.38,87090
CONTRA COSTA,2018,3,4.43,5068804
EL DORADO,2018,3,18.41,3460311
HUMBOLDT,2018,3,35.31,4764661
KERN,2018,3,2.41,2170500
LAKE,2018,3,5.88,379854
LOS ANGELES,2018,3,11.65,118824965
MARIN,2018,3,2.16,567980
MENDOCINO,2018,3,42.11,3729371
MONTEREY,2018,3,18.45,8096731
NEVADA,2018,3,6.06,595112
ORANGE,2018,3,6.44,20542047
RIVERSIDE,2018,3,4.88,11711609
SACRAMENTO,2018,3,24.18,36890733
SAN BERNARDINO,2018,3,1.43,3092431
SAN DIEGO,2018,3,12.99,43147127
SAN FRANCISCO,2018,3,66.27,58704891
SAN JOAQUIN,2018,3,3.62,2729009
SAN LUIS OBISPO,2018,3,8.78,2444014
SAN MATEO,2018,3,0.67,523649
SANTA BARBARA,2018,3,3.35,1504768
SANTA CLARA,2018,3,21.13,41081614
SANTA CRUZ,2018,3,42.72,11689049
SHASTA,2018,3,19.55,3486782
SISKIYOU,2018,3,21.86,975227
SOLANO,2018,3,21.22,9271234
SONOMA,2018,3,34.31,17175050
STANISLAUS,2018,3,30.85,16980835
TULARE,2018,3,6.51,3075213
UNDISCLOSED,2018,3,,2710471
VENTURA,2018,3,6.38,5417421
ALAMEDA,2018,2,29.24,48313632
BUTTE,2018,2,0.34,77361
CALAVERAS,2018,2,30.54,1379240
CONTRA COSTA,2018,2,4.7,5381000
EL DORADO,2018,2,20.25,3805916
FRESNO,2018,2,0.41,412424
HUMBOLDT,2018,2,38.3,5168230
KERN,2018,2,2.51,2263643
LAKE,2018,2,9.41,608164
LOS ANGELES,2018,2,11.92,121567102
MARIN,2018,2,6.49,1702698
MENDOCINO,2018,2,41.61,3685023
MONTEREY,2018,2,18.06,7922972
